"Url","Status","ContentType","ContentLength","Error"
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/can/mock1-40x30-landscape.jpg","200","image/jpeg","675080",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/can/mock2-40x30-landscape.jpg","200","image/jpeg","708309",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/can/hero-40x30-landscape.jpg","200","image/jpeg","401410",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock1-a3-landscape.jpg","200","image/jpeg","479119",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock2-a3-landscape.jpg","200","image/jpeg","422134",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/hero-a3-landscape.jpg","200","image/jpeg","386770",""
"https://photos.studiotj.com/shop/details/papers/enhanced-matte-art.jpg","200","image/jpeg","230409",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock1-a4-landscape.jpg","200","image/jpeg","451819",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock2-a4-landscape.jpg","200","image/jpeg","332155",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/hero-a4-landscape.jpg","200","image/jpeg","386995",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock1-a5-landscape.jpg","200","image/jpeg","434509",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/mock2-a5-landscape.jpg","200","image/jpeg","273946",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/papers/hero-a5-landscape.jpg","200","image/jpeg","383797",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock1-a3-landscape-black.jpg","200","image/jpeg","366576",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/mock2-a3-landscape-black.jpg","200","image/jpeg","483590",""
"https://photos.studiotj.com/shop/mockups/2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17/fap/hero-a3-landscape-black.jpg","200","image/jpeg","403586",""
"https://photos.studiotj.com/shop/details/fap/classic-frames-hero_new.webp","200","image/webp","33892",""
