mdx_path,photo_id,family,size,sku,variant_id,mdx_price_cents,expected_price_cents,price_ok,prodigi_status,photo_url,photo_dimensions,dpi_at_size,status,notes
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,6x4,GLOBAL-POST-MOH-6X4-BLA-10,photo-atmospheric-leiden-017-pos-6x4-pack10,2700,2700,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,1000,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,6x4,GLOBAL-POST-MOH-6X4-BLA-20,photo-atmospheric-leiden-017-pos-6x4-pack20,4950,4950,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,1000,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,6x4,GLOBAL-POST-MOH-6X4-BLA-50,photo-atmospheric-leiden-017-pos-6x4-pack50,11250,11250,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,1000,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,6x4,GLOBAL-POST-MOH-6X4-BLA-100,photo-atmospheric-leiden-017-pos-6x4-pack100,19800,19800,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,1000,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,7x5,GLOBAL-POST-MOH-7X5-BLA-10,photo-atmospheric-leiden-017-pos-7x5-pack10,4050,4050,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,800,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,7x5,GLOBAL-POST-MOH-7X5-BLA-20,photo-atmospheric-leiden-017-pos-7x5-pack20,7200,7200,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,800,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,7x5,GLOBAL-POST-MOH-7X5-BLA-50,photo-atmospheric-leiden-017-pos-7x5-pack50,17550,17550,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,800,OK,
content/products/photo-atmospheric-leiden-017-pos.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-17,pos,7x5,GLOBAL-POST-MOH-7X5-BLA-100,photo-atmospheric-leiden-017-pos-7x5-pack100,32850,32850,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-017/master.jpg,6000x4000,800,OK,
content/products/photo-atmospheric-leiden-068-can.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,can,16x12,CAN-38MM-SC-16x12,photo-atmospheric-leiden-068-can-16x12,4080,4080,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,333,OK,
content/products/photo-atmospheric-leiden-068-can.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,can,20x16,CAN-38MM-SC-20x16,photo-atmospheric-leiden-068-can-20x16,5100,5100,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,250,OK,
content/products/photo-atmospheric-leiden-068-can.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,can,40x30,CAN-19MM-SC-40x30,photo-atmospheric-leiden-068-can-40x30,10880,10880,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,133,PHOTO_LOW_RES,
content/products/photo-atmospheric-leiden-068-clp.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,clp,16x20,ART-PAP-LPP-16X20,photo-atmospheric-leiden-068-clp-16x20,2250,2250,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,250,OK,
content/products/photo-atmospheric-leiden-068-clp.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,clp,24x36,ART-PAP-LPP-24X36,photo-atmospheric-leiden-068-clp-24x36,4250,4250,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,167,OK,
content/products/photo-atmospheric-leiden-068-ema.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,ema,16x20,GLOBAL-FAP-16X20,photo-atmospheric-leiden-068-ema-16x20,1530,1530,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,250,OK,
content/products/photo-atmospheric-leiden-068-ema.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,ema,a5,GLOBAL-FAP-A5,photo-atmospheric-leiden-068-ema-a5,595,595,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,686,OK,
content/products/photo-atmospheric-leiden-068-ema.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,ema,24x36,GLOBAL-FAP-24X36,photo-atmospheric-leiden-068-ema-24x36,3060,3060,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,167,OK,
content/products/photo-atmospheric-leiden-068-ema.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,ema,a4,GLOBAL-FAP-A4,photo-atmospheric-leiden-068-ema-a4,850,850,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,484,OK,
content/products/photo-atmospheric-leiden-068-ema.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,ema,a3,GLOBAL-FAP-A3,photo-atmospheric-leiden-068-ema-a3,1190,1190,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,342,OK,
content/products/photo-atmospheric-leiden-068-fap.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,fap,a4,FRA-CLA-HPR-NM-GLA-A4,photo-atmospheric-leiden-068-fap-a4-black,5600,5600,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,484,OK,
content/products/photo-atmospheric-leiden-068-fap.mdx,2025-05-22-LeidenPolderpark-2025-05-22-leidenpolderpark-68,fap,a4,FRA-CLA-HPR-NM-GLA-A4,photo-atmospheric-leiden-068-fap-a4-natural-oak,5600,5600,OK,OK,https://photos.studiotj.com/print/photography/atmospheric/atmospheric-leiden-068/master.jpg,4000x6000,484,OK,
