product_id,family,collection,variant_size,margin_pct,price_cents,base_eu_eur,base_us_usd,revenue_usd_at_fx,us_cost_usd,gross_margin_usd,status
photo-atmospheric-leiden-068-ema-a3,ema,the-atmospheric-collection,a3,70,1190,7,14,13.9408,14,-0.0591,LOSS
photo-atmospheric-leiden-068-fap-a4-black,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a4-natural-oak,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a4-white,fap,the-atmospheric-collection,a4,60,5600,35,35,65.604,35,30.604,OK
photo-atmospheric-leiden-068-fap-a3-black,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-fap-a3-natural-oak,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-fap-a3-white,fap,the-atmospheric-collection,a3,60,8000,50,50,93.72,50,43.72,OK
photo-atmospheric-leiden-068-gre-6x4-pack10,gre,the-atmospheric-collection,6x4,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-068-gre-6x4-pack20,gre,the-atmospheric-collection,6x4,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-068-gre-6x4-pack50,gre,the-atmospheric-collection,6x4,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-068-gre-6x4-pack100,gre,the-atmospheric-collection,6x4,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-068-gre-7x5-pack10,gre,the-atmospheric-collection,7x5,250,2800,8,8,32.802,8,24.802,OK
photo-atmospheric-leiden-068-gre-7x5-pack20,gre,the-atmospheric-collection,7x5,250,5250,15,15,61.5038,15,46.5037,OK
photo-atmospheric-leiden-068-gre-7x5-pack50,gre,the-atmospheric-collection,7x5,250,12600,36,36,147.609,36,111.609,OK
photo-atmospheric-leiden-068-gre-7x5-pack100,gre,the-atmospheric-collection,7x5,250,23100,66,66,270.6165,66,204.6165,OK
photo-atmospheric-leiden-068-hge-16x20,hge,the-atmospheric-collection,16x20,50,2400,16,16,28.116,16,12.116,OK
